Site;Year;Month;Day;Date;Precip;Wsmean;Tmean;Rhumean;Rhumin;Sunhour;Tmin;Tmax
50353;1960;12;1;1960/12/1;0;0;-29.8;74;71;3.2;-34.1;-23
50353;1960;12;2;1960/12/2;0;2.5;-27.5;64;44;4.6;-32.5;-23.6
50353;1960;12;3;1960/12/3;0;1.5;-28.8;49;38;2.5;-33.9;-23.4
50353;1960;12;4;1960/12/4;0;1.3;-31.3;61;46;6.2;-37.3;-25.5
50353;1960;12;5;1960/12/5;0;0;-36.4;69;61;2.5;-42.3;-29.1
50353;1960;12;6;1960/12/6;0;0;-33.2;70;62;2.4;-37.6;-27
50353;1960;12;7;1960/12/7;0.1;0.5;-23.2;71;57;3.3;-34.8;-16.3
50353;1960;12;8;1960/12/8;0;0;-23.9;73;63;0.4;-29.9;-19.4
50353;1960;12;9;1960/12/9;0.6;3;-20.9;77;72;0;-24.1;-18.8
50353;1960;12;10;1960/12/10;0.3;0.5;-21.8;74;60;5.8;-25.3;-16.6
50353;1960;12;11;1960/12/11;0;0;-26.8;74;63;4.9;-32.5;-20.1
50353;1960;12;12;1960/12/12;0.3;0;-24.3;77;65;1.1;-27.4;-19.2
50353;1960;12;13;1960/12/13;0;0;-27;76;70;2.6;-33;-20
50353;1960;12;14;1960/12/14;0;0.5;-28.6;78;74;2.9;-33.4;-21.4
50353;1960;12;15;1960/12/15;0.2;0.5;-31.8;77;73;1.3;-36.4;-28.7
50353;1960;12;16;1960/12/16;0;0.3;-31.2;76;54;1.8;-37.3;-26.4
50353;1960;12;17;1960/12/17;0;4.8;-19.8;50;43;5.2;-27.9;-16.7
50353;1960;12;18;1960/12/18;0;5;-19.3;48;42;2.9;-27;-16.4
50353;1960;12;19;1960/12/19;0;1.3;-26.8;67;42;6.4;-32.5;-19.5
50353;1960;12;20;1960/12/20;0;0;-32.2;69;53;6.6;-36.4;-25
50353;1960;12;21;1960/12/21;0;0;-33.2;69;55;5.8;-37.5;-26.7
50353;1960;12;22;1960/12/22;0;0;-35.5;70;61;4.6;-38.7;-29.8
50353;1960;12;23;1960/12/23;0;0;-35.6;68;58;5.3;-40.2;-29
50353;1960;12;24;1960/12/24;0;0;-33.7;69;57;4.4;-37.3;-27.8
50353;1960;12;25;1960/12/25;0;0;-35.3;73;70;2.4;-39.3;-30.1
50353;1960;12;26;1960/12/26;0;0;-36.5;69;60;4;-40.1;-31.6
50353;1960;12;27;1960/12/27;0;0;-35.8;68;57;5;-39.7;-29.8
50353;1960;12;28;1960/12/28;0;1.3;-32.6;66;51;5.1;-40.2;-23.2
50353;1960;12;29;1960/12/29;0;3.8;-27.4;58;47;4.5;-31.7;-23.4
50353;1960;12;30;1960/12/30;0;2;-27.2;59;50;6.7;-31;-23.3
50353;1960;12;31;1960/12/31;0;0;-31.8;67;54;6.4;-36.7;-24.3
50353;1961;1;1;1961/1/1;0;0;-35.8;69;60;5.7;-39.6;-29.6
50353;1961;1;2;1961/1/2;0;0.5;-33.4;72;66;1.8;-37;-28.8
50353;1961;1;3;1961/1/3;0.4;1.5;-32.4;73;68;0;-38.7;-28.2
50353;1961;1;4;1961/1/4;0.1;1.5;-30.5;67;50;6.4;-36.3;-24.2
50353;1961;1;5;1961/1/5;0;0;-37.7;67;58;5.2;-42.7;-29.9
50353;1961;1;6;1961/1/6;0;0;-38.6;67;59;2.4;-43.6;-33.6
50353;1961;1;7;1961/1/7;0.2;0;-37.8;70;67;0;-42;-31.4
50353;1961;1;8;1961/1/8;0.3;2.3;-33.4;64;46;5;-37.8;-26.4
50353;1961;1;9;1961/1/9;0;0.3;-35.2;59;47;6.7;-41.5;-28.1
50353;1961;1;10;1961/1/10;0;0.5;-39;63;53;3.9;-46;-30
50353;1961;1;11;1961/1/11;0;0;-36.3;64;52;6.9;-44.3;-27
50353;1961;1;12;1961/1/12;0;0;-37.2;66;55;5.9;-42.3;-28.9
50353;1961;1;13;1961/1/13;0;0;-35.7;67;55;4.3;-40.2;-29.5
50353;1961;1;14;1961/1/14;0;0;-36.4;68;60;3.6;-41.2;-30.6
50353;1961;1;15;1961/1/15;0;0;-34.9;69;61;5.7;-41.3;-27
50353;1961;1;16;1961/1/16;0;0.5;-33.9;70;61;3.7;-39.9;-26.1
50353;1961;1;17;1961/1/17;0;0;-36.6;68;58;2.8;-42;-28.4
50353;1961;1;18;1961/1/18;0;0.3;-35;67;53;6.2;-40.3;-26.4
50353;1961;1;19;1961/1/19;0;0;-34.5;68;58;3.8;-39.8;-26.4
50353;1961;1;20;1961/1/20;2.3;0.5;-28.9;75;71;0;-36.4;-22.8
50353;1961;1;21;1961/1/21;0.6;2.5;-25.9;74;65;5.6;-31.4;-21.3
50353;1961;1;22;1961/1/22;0;0.5;-30.7;75;65;2.5;-34;-23.5
50353;1961;1;23;1961/1/23;0;1;-31.1;71;57;6.9;-37.8;-22.1
50353;1961;1;24;1961/1/24;0;1.5;-26.6;74;68;1.8;-33.5;-21.3
50353;1961;1;25;1961/1/25;0;3.5;-22.3;60;37;6.7;-28.6;-16.6
50353;1961;1;26;1961/1/26;0;0;-25.9;50;38;7.4;-35.5;-18.7
50353;1961;1;27;1961/1/27;0;0;-32.4;69;57;6.7;-37.6;-24.4
50353;1961;1;28;1961/1/28;0;0;-30.7;70;56;4;-35.5;-24
50353;1961;1;29;1961/1/29;0;4.8;-21;52;46;7;-32.2;-17.3
50353;1961;1;30;1961/1/30;0;4.3;-19.8;55;44;4.7;-26.8;-13.6
50353;1961;1;31;1961/1/31;0;3.3;-17.1;50;41;4;-23.1;-11.9
50353;1961;2;1;1961/2/1;0;2.8;-15.4;64;51;0;-24.5;-9
50353;1961;2;2;1961/2/2;0;1.3;-19;72;55;7.9;-24.9;-11
50353;1961;2;3;1961/2/3;0.1;0.5;-24.7;76;67;1.6;-31.5;-17.4
50353;1961;2;4;1961/2/4;0;0.3;-23.5;72;53;4.3;-30.9;-16.2
50353;1961;2;5;1961/2/5;0;0;-24.6;72;53;7;-32.6;-16.2
50353;1961;2;6;1961/2/6;0;0;-26.1;76;60;4.8;-33.1;-18
50353;1961;2;7;1961/2/7;0;0;-27.2;72;56;7.4;-34.9;-19.6
50353;1961;2;8;1961/2/8;0;2.3;-24.1;64;33;6.5;-34;-13.6
50353;1961;2;9;1961/2/9;0;8.8;-23.3;38;34;6.8;-26.5;-15.9
50353;1961;2;10;1961/2/10;0;3.8;-26.8;45;35;8.4;-32.5;-20.8
50353;1961;2;11;1961/2/11;0;2;-26.8;51;38;8.8;-34.9;-21.6
50353;1961;2;12;1961/2/12;0;0;-28.8;64;47;6.1;-38.1;-18.2
50353;1961;2;13;1961/2/13;0;5.5;-23.6;61;42;4.7;-34.5;-17.2
50353;1961;2;14;1961/2/14;0;5;-21.4;44;41;6.3;-24.8;-18
50353;1961;2;15;1961/2/15;0;2.8;-24.4;48;39;8.6;-30.5;-19.6
50353;1961;2;16;1961/2/16;0;1;-24.6;62;50;1.7;-34.5;-14.6
50353;1961;2;17;1961/2/17;0;1;-21.5;66;46;9.3;-28.7;-12.1
50353;1961;2;18;1961/2/18;0;0;-23.1;65;39;9.1;-31.4;-10.4
50353;1961;2;19;1961/2/19;0;0.5;-22.7;67;48;5.9;-31.6;-13.3
50353;1961;2;20;1961/2/20;0;1.3;-20.8;66;46;8.7;-29.4;-12.8
50353;1961;2;21;1961/2/21;0;0.8;-22.8;69;50;9.2;-31.5;-10.5
50353;1961;2;22;1961/2/22;0;0.5;-22.2;68;41;9.5;-32.7;-9
50353;1961;2;23;1961/2/23;0;0;-20.4;73;54;4.6;-28.4;-10
50353;1961;2;24;1961/2/24;0;0.5;-21.6;73;50;7.6;-31.3;-10.1
50353;1961;2;25;1961/2/25;0;0;-22.4;73;52;8.7;-31.6;-10.7
50353;1961;2;26;1961/2/26;0;0.5;-21.1;69;47;8.1;-31;-9.3
50353;1961;2;27;1961/2/27;0;0.5;-17.8;78;66;3.8;-25;-10.9
50353;1961;2;28;1961/2/28;0.2;2;-16.2;76;52;4;-27.5;-6
50353;1961;3;1;1961/3/1;0;2;-10.8;73;32;4.8;-17.8;-4.4
50353;1961;3;2;1961/3/2;0;1;-15.9;55;33;9.8;-25.4;-6.4
50353;1961;3;3;1961/3/3;0;2.5;-16.2;59;34;6;-28.6;-3.3
50353;1961;3;4;1961/3/4;0;2.8;-12.9;59;38;8.9;-23.1;-3.6
50353;1961;3;5;1961/3/5;0;0.3;-15;72;50;8.2;-26;-4.4
50353;1961;3;6;1961/3/6;1.9;6.3;-12.7;74;38;0;-17.9;-8.8
50353;1961;3;7;1961/3/7;0;5.5;-17.2;33;28;9.8;-20.7;-12.9
50353;1961;3;8;1961/3/8;0;3.3;-16.7;46;40;9.6;-23.1;-10
50353;1961;3;9;1961/3/9;0;0.5;-18.3;70;44;8.3;-28;-5.9
50353;1961;3;10;1961/3/10;0;0.5;-14.2;70;43;9.6;-24.6;-3.3
50353;1961;3;11;1961/3/11;0;1;-12.8;69;44;9.1;-23;-2.4
50353;1961;3;12;1961/3/12;0;1;-14.1;74;43;9.9;-24.1;-3.2
50353;1961;3;13;1961/3/13;0;0.3;-13.7;77;50;8.3;-24.3;-2
50353;1961;3;14;1961/3/14;0;1;-11.4;71;46;8.4;-23.8;1.7
50353;1961;3;15;1961/3/15;0;1.3;-8.2;72;51;7.3;-21.7;2.4
50353;1961;3;16;1961/3/16;0;1.3;-6;77;52;7.7;-12.1;0.9
50353;1961;3;17;1961/3/17;0.9;1.8;-6.3;94;55;0;-13.9;-2.2
50353;1961;3;18;1961/3/18;0;6;-6.3;48;29;10.6;-9.5;-1.8
50353;1961;3;19;1961/3/19;0;3.3;-5.2;45;34;9.8;-9.8;-1.8
50353;1961;3;20;1961/3/20;0;0.5;-8.8;69;42;7.6;-18.4;-0.7
50353;1961;3;21;1961/3/21;0;2.3;-5.4;72;48;5.9;-11.8;-1.1
50353;1961;3;22;1961/3/22;0;2;-9;53;32;6.3;-14.9;-4.1
50353;1961;3;23;1961/3/23;2.2;4;-13;52;28;6.2;-19.6;-8.1
50353;1961;3;24;1961/3/24;0;6.5;-14.4;48;41;10.3;-20.5;-9.2
