Formatted_Date,Actually_Precip,Predicted_Precip
2009-01-06,0.0,0.18524924
2009-01-07,0.4,0.10929
2009-01-08,0.2,0.2498448
2009-01-09,1.0,-0.048294526
2009-01-10,0.4,0.27917936
2009-01-11,0.0,0.30042726
2009-01-12,0.0,0.20323275
2009-01-13,0.0,0.10136028
2009-01-14,0.0,0.01592104
2009-01-15,0.0,-0.044924922
2009-01-16,0.0,-0.07378536
2009-01-17,0.0,-0.082698286
2009-01-18,0.0,-0.04028711
2009-01-19,0.2,0.13599382
2009-01-20,0.1,0.14346032
2009-01-21,0.0,0.20518827
2009-01-22,0.0,0.0046391953
2009-01-23,0.4,0.110444166
2009-01-24,0.7,0.13701235
2009-01-25,0.4,0.18649583
2009-01-26,0.1,-0.0056978525
2009-01-27,0.0,-0.046814516
2009-01-28,1.3,-0.106206596
2009-01-29,0.3,0.07748166
2009-01-30,0.0,-0.09780223
2009-01-31,0.0,-0.09380899
2009-02-01,0.1,-0.009117637
2009-02-02,0.2,0.05550336
2009-02-03,0.0,0.10494462
2009-02-04,0.6,-0.096352674
2009-02-05,0.0,0.45258006
2009-02-06,0.0,-0.1659721
2009-02-07,0.4,0.17206344
2009-02-08,2.4,-0.0008312829
2009-02-09,0.3,0.70151865
2009-02-10,0.4,-0.10478179
2009-02-11,1.1,0.16265355
2009-02-12,0.0,-0.03342124
2009-02-13,0.6,0.230265
2009-02-14,2.2,0.043054882
2009-02-15,3.4999999999999996,0.64792913
2009-02-16,0.1,0.6449521
2009-02-17,0.0,-0.12233719
2009-02-18,0.0,-0.081269495
2009-02-19,0.0,-0.08811305
2009-02-20,0.0,-0.09679479
2009-02-21,0.0,-0.13777873
2009-02-22,0.0,0.20289965
2009-02-23,0.0,-0.027780836
2009-02-24,0.0,-0.025746236
2009-02-25,0.0,-0.008582771
2009-02-26,0.0,-0.045897577
2009-02-27,0.0,-0.0069404505
2009-02-28,0.0,-0.09068822
2009-03-01,0.0,-0.07473292
2009-03-02,0.0,-0.008168167
2009-03-03,0.0,0.030493928
2009-03-04,0.0,0.06654433
2009-03-05,1.4,0.13571852
2009-03-06,5.3,0.92202425
2009-03-07,0.0,0.4451378
2009-03-08,0.0,0.0019922066
2009-03-09,5.5,0.20494549
2009-03-10,1.0,0.95832694
2009-03-11,0.0,-0.010700258
2009-03-12,3.2,0.003531741
2009-03-13,2.0,0.868742
2009-03-14,0.0,-0.031324692
2009-03-15,0.0,-0.007568239
2009-03-16,0.0,0.5351782
2009-03-17,1.7,-0.043594766
2009-03-18,0.0,0.3699273
2009-03-19,0.0,-0.0747106
2009-03-20,0.0,-0.05214085
2009-03-21,0.0,-0.09966275
2009-03-22,0.0,-0.05959073
2009-03-23,0.0,-0.09728519
2009-03-24,0.0,-0.005884908
2009-03-25,2.2,-0.0053090323
2009-03-26,0.0,0.89383984
2009-03-27,0.0,-0.07993259
2009-03-28,0.2,0.5753455
2009-03-29,0.0,0.89793813
2009-03-30,0.0,0.107781775
2009-03-31,0.0,0.23588361
2009-04-01,0.0,0.31074768
2009-04-02,0.0,0.49338335
2009-04-03,0.0,0.23453493
2009-04-04,0.3,1.1276455
2009-04-05,0.5,0.41870493
2009-04-06,0.0,0.22778103
2009-04-07,0.0,0.2706909
2009-04-08,0.0,0.8600642
2009-04-09,0.0,1.4151149
2009-04-10,0.0,0.33975384
2009-04-11,0.0,0.22949499
2009-04-12,1.8000000000000003,1.5275848
2009-04-13,0.0,0.05120955
2009-04-14,1.7,-0.02078709
2009-04-15,0.0,0.63108474
2009-04-16,0.0,-0.13212796
2009-04-17,0.0,0.054142404
2009-04-18,0.0,0.11625156
2009-04-19,0.0,0.32658118
2009-04-20,0.0,-0.038111135
2009-04-21,0.0,0.29794484
2009-04-22,0.0,-0.14838105
2009-04-23,0.0,0.14294535
2009-04-24,0.0,0.1550128
2009-04-25,0.0,0.22902016
2009-04-26,0.0,0.22325552
2009-04-27,0.0,-0.07895509
2009-04-28,0.0,-0.06509374
2009-04-29,0.0,0.32529965
2009-04-30,1.8000000000000003,0.9445236
2009-05-01,0.1,0.57072586
2009-05-02,0.8,1.6403819
2009-05-03,0.0,0.14783649
2009-05-04,0.0,1.6711344
2009-05-05,0.0,0.3547458
2009-05-06,0.0,0.69307846
2009-05-07,0.7,0.45977902
2009-05-08,0.0,-0.25987437
2009-05-09,0.8,0.34009558
2009-05-10,0.0,-1.0262297
2009-05-11,1.6,-0.13256176
2009-05-12,0.0,0.2866526
2009-05-13,0.0,0.059388448
2009-05-14,0.0,0.6905983
2009-05-15,0.0,0.48203626
2009-05-16,0.0,0.7793076
2009-05-17,0.0,1.306964
2009-05-18,7.1,0.6590834
2009-05-19,0.0,1.6392684
2009-05-20,0.0,0.4381764
2009-05-21,0.1,0.8700168
2009-05-22,0.0,0.03918675
2009-05-23,0.0,0.03330911
2009-05-24,0.0,0.32572013
2009-05-25,0.0,-0.12674572
2009-05-26,0.0,0.37904042
2009-05-27,0.0,0.24002238
2009-05-28,0.0,0.8763021
2009-05-29,0.0,2.0730147
2009-05-30,11.3,0.21473452
2009-05-31,8.1,2.0427477
2009-06-01,9.5,1.6956115
2009-06-02,5.0,8.467541
2009-06-03,14.1,3.1716647
2009-06-04,2.4,2.4950316
2009-06-05,0.4,1.2185899
2009-06-06,7.1,1.0742614
2009-06-07,2.0,2.465179
2009-06-08,1.3,1.9941279
2009-06-09,1.5,3.0773368
2009-06-10,16.7,2.033017
2009-06-11,1.5,2.7826092
2009-06-12,0.0,2.4587233
2009-06-13,10.2,0.9738012
2009-06-14,0.7,1.7142549
2009-06-15,0.0,1.8166343
2009-06-16,0.0,2.124508
2009-06-17,0.0,1.09818
2009-06-18,4.0,1.6882416
2009-06-19,1.4,9.819409
2009-06-20,9.9,6.382496
2009-06-21,4.5,1.501967
2009-06-22,5.8,6.327858
2009-06-23,2.2,3.7642248
2009-06-24,0.0,3.5946112
2009-06-25,2.8,0.7882957
2009-06-26,0.0,3.213075
2009-06-27,0.0,2.0726671
2009-06-28,0.0,3.4846346
2009-06-29,9.4,2.4569585
2009-06-30,0.7,3.1601675
2009-07-01,0.0,2.4719439
2009-07-02,7.1,0.15073976
2009-07-03,0.0,1.2112527
2009-07-04,0.0,1.1025369
2009-07-05,0.0,-1.369371
2009-07-06,67.4,-3.8493907
2009-07-07,4.9,2.127319
2009-07-08,5.0,1.6263247
2009-07-09,12.9,0.77371067
2009-07-10,0.7,6.1510615
2009-07-11,0.0,5.00698
2009-07-12,0.0,0.98546076
2009-07-13,0.3,8.679469
2009-07-14,0.0,2.1357622
2009-07-15,5.8,0.8199678
2009-07-16,19.3,0.8364265
2009-07-17,0.0,9.3948765
2009-07-18,0.0,2.4994924
2009-07-19,0.0,28.264189
2009-07-20,0.0,2.116372
2009-07-21,7.599999999999999,1.0020596
2009-07-22,3.6000000000000005,7.635302
2009-07-23,0.0,4.7471514
2009-07-24,0.0,0.045507547
2009-07-25,0.7,3.2150064
2009-07-26,0.0,2.1353698
2009-07-27,0.0,1.7329551
2009-07-28,0.0,1.5528129
2009-07-29,0.0,1.2606473
2009-07-30,7.699999999999999,2.8433712
2009-07-31,0.0,20.18296
2009-08-01,0.0,3.86837
2009-08-02,23.8,2.042021
2009-08-03,26.7,5.198136
2009-08-04,7.5,2.009998
2009-08-05,21.9,1.8808779
2009-08-06,0.0,11.472833
2009-08-07,4.2,1.6707075
2009-08-08,5.4,2.4733233
2009-08-09,0.0,1.4106563
2009-08-10,20.1,3.723928
2009-08-11,4.0,1.5243769
2009-08-12,1.4,4.910404
2009-08-13,0.0,4.5620613
2009-08-14,0.0,6.8049474
2009-08-15,0.0,-1.0549066
2009-08-16,0.0,3.4070435
2009-08-17,0.0,-3.7120988
2009-08-18,22.2,7.6885996
2009-08-19,0.4,3.8922534
2009-08-20,12.5,2.5879948
2009-08-21,4.3,4.918611
2009-08-22,0.0,2.377851
2009-08-23,0.0,1.4278419
2009-08-24,0.8,2.2758882
2009-08-25,8.1,2.1437888
2009-08-26,1.0,7.7634234
2009-08-27,0.0,4.121395
2009-08-28,0.0,0.6614854
2009-08-29,0.0,2.497196
2009-08-30,0.0,1.0503844
2009-08-31,0.4,1.0321964
2009-09-01,4.7,0.511248
2009-09-02,26.999999999999996,2.5541768
2009-09-03,0.0,4.2871895
2009-09-04,0.0,1.8937477
2009-09-05,1.8999999999999997,2.4907243
2009-09-06,0.0,4.0181627
2009-09-07,0.5,1.0579917
2009-09-08,2.6,2.1019626
2009-09-09,0.0,0.15023136
2009-09-10,0.0,0.7861079
2009-09-11,0.0,1.0430791
2009-09-12,1.2,1.0934646
2009-09-13,0.0,0.3489547
2009-09-14,5.2,0.63979745
2009-09-15,0.1,2.7347012
2009-09-16,0.0,2.8112097
2009-09-17,0.0,0.8013562
2009-09-18,0.0,2.3243253
2009-09-19,0.0,0.41953138
2009-09-20,7.1,1.2839141
2009-09-21,0.8,1.9411263
2009-09-22,0.2,2.027003
2009-09-23,0.0,0.73810667
2009-09-24,0.0,0.801303
2009-09-25,0.0,1.4695098
2009-09-26,0.0,0.5214404
2009-09-27,0.0,0.5582949
2009-09-28,0.5,1.3081905
2009-09-29,0.0,1.654328
2009-09-30,0.0,0.8693618
2009-10-01,4.7,5.243464
2009-10-02,0.5,1.4215399
2009-10-03,0.8,4.861315
2009-10-04,0.5,0.24245791
2009-10-05,0.1,0.29502895
2009-10-06,0.0,0.5063451
2009-10-07,0.0,0.16939309
2009-10-08,0.0,0.50009334
2009-10-09,0.0,0.06449156
2009-10-10,0.0,0.32932436
2009-10-11,0.0,0.299239
2009-10-12,0.0,0.3755684
2009-10-13,0.0,0.05435749
2009-10-14,0.0,0.8370465
2009-10-15,0.0,0.43327454
2009-10-16,0.0,0.9897814
2009-10-17,0.3,1.1204851
2009-10-18,0.0,1.1155177
2009-10-19,0.0,0.5264236
2009-10-20,0.2,0.5385502
2009-10-21,0.0,0.43133545
2009-10-22,0.0,0.28068152
2009-10-23,0.0,0.5139019
2009-10-24,0.0,1.1034973
2009-10-25,2.8,1.280925
2009-10-26,3.9,1.5127792
2009-10-27,0.2,0.43648684
2009-10-28,0.0,2.0022736
2009-10-29,0.0,0.63348585
2009-10-30,0.0,0.22557719
2009-10-31,0.0,0.10646858
2009-11-01,0.0,0.106628984
2009-11-02,0.0,0.027565576
2009-11-03,0.0,0.05706539
2009-11-04,0.0,0.47072032
2009-11-05,0.0,0.615235
2009-11-06,0.0,1.102997
2009-11-07,0.0,0.7058182
2009-11-08,0.0,0.52587986
2009-11-09,0.0,0.13876298
2009-11-10,0.0,0.0679136
2009-11-11,0.0,0.018127643
